번호,종목코드,종목명,산업카테고리,시가총액(억),현재 PER,추정 PER,전년 영업이익,추정 영업이익,추정 ROE,부채비율,이익성장률,DeltaPER
0,035250,강원랜드,"호텔,레스토랑,레저",34252.0,10.77,13.0,2353.0,2180.0,6.79,22.21,-0.07352316192095198,-2.2300000000000004
0,036460,한국가스공사,가스유틸리티,34248.0,25.75,4.0,21012.0,21318.0,7.05,396.6,0.014563106796116498,21.75
0,043260,성호전자,전기제품,34114.0,35.87,35.87,76.0,76.0,46.27,128.77,0.0,0.0
0,214450,파마리서치,건강관리장비와용품,34078.0,23.08,18.0,2144.0,2690.0,27.53,44.21,0.2546641791044777,5.079999999999998
0,097950,CJ제일제당,식품,33947.0,,10.0,12336.0,13127.0,5.35,157.5,0.06412127107652399,
0,457190,이수스페셜티케미컬,화학,33331.0,4412.0,4412.0,16.0,140.0,0.6,175.79,7.75,0.0
0,100790,미래에셋벤처투자,창업투자,33203.0,107.39,107.39,351.0,351.0,8.47,190.79,0.0,0.0
0,302440,SK바이오사이언스,제약,33109.0,,,-1235.0,-1197.0,-4.27,45.07,-0.03076923076923077,
0,319660,피에스케이,반도체와반도체장비,33080.0,42.11,29.0,885.0,1303.0,19.06,19.84,0.4723163841807909,13.11
0,032820,우리기술,우주항공과국방,33022.0,3860.0,3860.0,-55.0,-55.0,0.67,172.08,0.0,0.0
0,367380,ACE 미국나스닥100,,32765.0,,,,,,,,
0,383220,F&F,"섬유,의류,신발,호화품",32982.0,8.28,7.0,4686.0,5255.0,22.7,41.13,0.12142552283397356,1.2799999999999994
0,001720,신영증권,증권,32518.0,22.91,22.91,1361.0,1361.0,6.45,466.36,0.0,0.0
0,014680,한솔케미칼,화학,31723.0,21.47,18.0,1562.0,1925.0,15.24,35.94,0.232394366197183,3.469999999999999
0,005850,에스엘,자동차부품,31585.0,10.16,8.0,4071.0,4343.0,13.98,50.74,0.06681405060181778,2.16
0,058610,에스피지,전기제품,31536.0,345.15,345.15,179.0,210.0,5.87,66.09,0.17318435754189943,0.0
0,031210,서울보증보험,손해보험,31455.0,11.72,11.72,3757.0,3757.0,5.18,81.11,0.0,0.0
0,00680K,미래에셋증권2우B,증권,31327.0,10.65,6.0,19151.0,31240.0,17.79,1015.01,0.6312464101091326,4.65
